interval,transfer_GB,bandwidth_Gb_s
10,3.36,2.88
10,3.69,3.16
10,04.06,3.48
10,3.31,2.84
10,3.37,2.89
10,6.37,5.46
10,5,3.9
10,2.77,2.38
10,2.86,2.23
10,5.74,4.93
10,6.58,5.64
10,5.79,4.97
10,2.53,2.17
10,4.94,4.23
10,2.91,2.49
10,3.73,3.2
10,3.82,3.27
10,3.84,3.29
10,2.85,2.45
10,3.67,3.14
10,2.93,2.51
10,6.22,4.85
10,5.96,5.11
10,2.61,2.24
10,4.84,4.15
10,2.66,2.28
10,2.93,2.51
10,5.21,4.47
10,6.58,5.65
10,5.37,4.61
